Descritpion_ID,Top_20_Image_IDs
0.txt,1980.jpg 1380.jpg 760.jpg 1077.jpg 124.jpg 338.jpg 1040.jpg 1011.jpg 1296.jpg 683.jpg 46.jpg 105.jpg 669.jpg 714.jpg 153.jpg 998.jpg 563.jpg 1883.jpg 1581.jpg 1484.jpg
1.txt,80.jpg 1199.jpg 1714.jpg 201.jpg 818.jpg 107.jpg 1615.jpg 1102.jpg 355.jpg 527.jpg 1601.jpg 1733.jpg 428.jpg 179.jpg 1049.jpg 1184.jpg 198.jpg 331.jpg 1639.jpg 200.jpg
2.txt,1183.jpg 838.jpg 1471.jpg 42.jpg 696.jpg 445.jpg 1033.jpg 117.jpg 607.jpg 1084.jpg 1211.jpg 1421.jpg 1866.jpg 372.jpg 1292.jpg 496.jpg 1482.jpg 634.jpg 523.jpg 1896.jpg
3.txt,1514.jpg 1215.jpg 770.jpg 1727.jpg 1850.jpg 1207.jpg 960.jpg 235.jpg 305.jpg 469.jpg 267.jpg 94.jpg 1661.jpg 1998.jpg 1315.jpg 731.jpg 1097.jpg 1318.jpg 1765.jpg 393.jpg
4.txt,1161.jpg 1384.jpg 1561.jpg 619.jpg 1451.jpg 912.jpg 216.jpg 1069.jpg 849.jpg 1480.jpg 132.jpg 594.jpg 292.jpg 1262.jpg 312.jpg 1466.jpg 46.jpg 1969.jpg 1535.jpg 1243.jpg
5.txt,1088.jpg 1693.jpg 1335.jpg 1594.jpg 1254.jpg 51.jpg 249.jpg 1292.jpg 523.jpg 1402.jpg 814.jpg 607.jpg 1183.jpg 846.jpg 1790.jpg 60.jpg 971.jpg 167.jpg 330.jpg 1661.jpg
6.txt,1855.jpg 1790.jpg 1944.jpg 1275.jpg 1020.jpg 1701.jpg 262.jpg 1377.jpg 1216.jpg 1151.jpg 996.jpg 1660.jpg 1815.jpg 1584.jpg 1885.jpg 1465.jpg 718.jpg 1607.jpg 1122.jpg 655.jpg
7.txt,975.jpg 448.jpg 1488.jpg 689.jpg 1249.jpg 987.jpg 1857.jpg 685.jpg 1285.jpg 1270.jpg 1302.jpg 1085.jpg 1961.jpg 1711.jpg 1363.jpg 627.jpg 481.jpg 932.jpg 1694.jpg 1239.jpg
8.txt,1031.jpg 1283.jpg 727.jpg 1570.jpg 3.jpg 1004.jpg 531.jpg 991.jpg 1834.jpg 419.jpg 923.jpg 1847.jpg 1902.jpg 1927.jpg 537.jpg 1656.jpg 1170.jpg 1163.jpg 823.jpg 826.jpg
9.txt,1700.jpg 1594.jpg 1088.jpg 249.jpg 476.jpg 1031.jpg 1913.jpg 760.jpg 496.jpg 1254.jpg 188.jpg 1630.jpg 472.jpg 1998.jpg 1553.jpg 167.jpg 60.jpg 1191.jpg 523.jpg 1484.jpg
10.txt,696.jpg 1183.jpg 1482.jpg 1471.jpg 496.jpg 904.jpg 1421.jpg 476.jpg 979.jpg 539.jpg 260.jpg 838.jpg 1084.jpg 1866.jpg 42.jpg 607.jpg 445.jpg 883.jpg 323.jpg 1475.jpg
11.txt,1088.jpg 1402.jpg 1254.jpg 614.jpg 829.jpg 1446.jpg 1913.jpg 1426.jpg 849.jpg 1693.jpg 760.jpg 1882.jpg 1384.jpg 1296.jpg 846.jpg 1335.jpg 82.jpg 814.jpg 834.jpg 1484.jpg
