Descritpion_ID,Top_20_Image_IDs
0.txt,1088.jpg 849.jpg 46.jpg 1384.jpg 1254.jpg 1882.jpg 912.jpg 1980.jpg 834.jpg 1446.jpg 1231.jpg 305.jpg 760.jpg 614.jpg 1069.jpg 68.jpg 829.jpg 1484.jpg 325.jpg 991.jpg
1.txt,1199.jpg 80.jpg 179.jpg 1733.jpg 571.jpg 1714.jpg 355.jpg 1639.jpg 160.jpg 201.jpg 738.jpg 818.jpg 198.jpg 587.jpg 1172.jpg 1102.jpg 428.jpg 1184.jpg 107.jpg 1049.jpg
2.txt,1031.jpg 696.jpg 1523.jpg 476.jpg 24.jpg 459.jpg 3.jpg 1896.jpg 420.jpg 848.jpg 1500.jpg 1004.jpg 505.jpg 1197.jpg 1919.jpg 669.jpg 1967.jpg 664.jpg 1413.jpg 765.jpg
3.txt,673.jpg 52.jpg 172.jpg 1062.jpg 155.jpg 518.jpg 1926.jpg 534.jpg 584.jpg 389.jpg 273.jpg 1551.jpg 620.jpg 358.jpg 914.jpg 951.jpg 451.jpg 1018.jpg 346.jpg 77.jpg
4.txt,673.jpg 172.jpg 584.jpg 914.jpg 1062.jpg 52.jpg 951.jpg 87.jpg 512.jpg 1218.jpg 1850.jpg 1400.jpg 1913.jpg 620.jpg 1551.jpg 1974.jpg 1154.jpg 536.jpg 1433.jpg 305.jpg
5.txt,665.jpg 102.jpg 1113.jpg 125.jpg 1912.jpg 1592.jpg 401.jpg 40.jpg 858.jpg 86.jpg 1478.jpg 34.jpg 1245.jpg 1780.jpg 1317.jpg 1751.jpg 659.jpg 956.jpg 278.jpg 462.jpg
6.txt,1076.jpg 1639.jpg 726.jpg 635.jpg 674.jpg 198.jpg 1679.jpg 1527.jpg 1822.jpg 815.jpg 1257.jpg 562.jpg 1199.jpg 818.jpg 1803.jpg 504.jpg 211.jpg 1753.jpg 1039.jpg 1891.jpg
7.txt,68.jpg 416.jpg 624.jpg 1682.jpg 305.jpg 670.jpg 153.jpg 686.jpg 1850.jpg 93.jpg 1816.jpg 1243.jpg 1251.jpg 432.jpg 1491.jpg 1560.jpg 1.jpg 1112.jpg 418.jpg 1231.jpg
8.txt,1033.jpg 765.jpg 561.jpg 338.jpg 1040.jpg 42.jpg 476.jpg 1292.jpg 1967.jpg 1471.jpg 879.jpg 117.jpg 1413.jpg 1183.jpg 184.jpg 663.jpg 563.jpg 871.jpg 696.jpg 1475.jpg
9.txt,1031.jpg 848.jpg 1644.jpg 1389.jpg 1179.jpg 472.jpg 1656.jpg 1004.jpg 15.jpg 1057.jpg 459.jpg 343.jpg 1918.jpg 1594.jpg 1197.jpg 1919.jpg 837.jpg 476.jpg 864.jpg 1023.jpg
10.txt,216.jpg 912.jpg 956.jpg 1161.jpg 1868.jpg 1510.jpg 1181.jpg 383.jpg 922.jpg 2.jpg 462.jpg 1466.jpg 112.jpg 395.jpg 401.jpg 1384.jpg 1986.jpg 1069.jpg 619.jpg 959.jpg
11.txt,1633.jpg 536.jpg 584.jpg 1062.jpg 87.jpg 101.jpg 1926.jpg 522.jpg 914.jpg 673.jpg 1154.jpg 1974.jpg 734.jpg 620.jpg 74.jpg 1602.jpg 1454.jpg 1406.jpg 1539.jpg 1551.jpg
12.txt,663.jpg 3.jpg 1033.jpg 633.jpg 17.jpg 1665.jpg 1475.jpg 1086.jpg 420.jpg 705.jpg 312.jpg 674.jpg 973.jpg 559.jpg 1902.jpg 1898.jpg 1619.jpg 424.jpg 1195.jpg 1570.jpg
13.txt,1633.jpg 1882.jpg 87.jpg 584.jpg 1913.jpg 1154.jpg 914.jpg 1974.jpg 522.jpg 673.jpg 1558.jpg 101.jpg 829.jpg 536.jpg 1396.jpg 370.jpg 846.jpg 74.jpg 289.jpg 512.jpg
14.txt,496.jpg 476.jpg 696.jpg 1648.jpg 1031.jpg 523.jpg 1040.jpg 561.jpg 338.jpg 1183.jpg 1500.jpg 765.jpg 1739.jpg 823.jpg 1475.jpg 1033.jpg 13.jpg 607.jpg 785.jpg 904.jpg
15.txt,312.jpg 1161.jpg 1822.jpg 1219.jpg 1451.jpg 912.jpg 1462.jpg 473.jpg 294.jpg 1181.jpg 922.jpg 216.jpg 1749.jpg 978.jpg 674.jpg 95.jpg 1466.jpg 1535.jpg 1384.jpg 435.jpg
16.txt,496.jpg 476.jpg 1183.jpg 1739.jpg 607.jpg 904.jpg 523.jpg 338.jpg 1594.jpg 696.jpg 1962.jpg 561.jpg 1033.jpg 60.jpg 393.jpg 1031.jpg 600.jpg 1866.jpg 720.jpg 1421.jpg
17.txt,305.jpg 1850.jpg 1018.jpg 52.jpg 1151.jpg 1465.jpg 358.jpg 262.jpg 1913.jpg 153.jpg 899.jpg 749.jpg 68.jpg 458.jpg 1553.jpg 1377.jpg 1768.jpg 77.jpg 309.jpg 1944.jpg
18.txt,1161.jpg 1822.jpg 473.jpg 112.jpg 1597.jpg 435.jpg 1117.jpg 1535.jpg 635.jpg 312.jpg 922.jpg 1749.jpg 1181.jpg 1466.jpg 1474.jpg 1219.jpg 1451.jpg 1510.jpg 912.jpg 674.jpg
19.txt,1946.jpg 1197.jpg 679.jpg 1896.jpg 1389.jpg 24.jpg 664.jpg 696.jpg 1031.jpg 710.jpg 343.jpg 1523.jpg 420.jpg 581.jpg 923.jpg 283.jpg 1004.jpg 1283.jpg 1927.jpg 404.jpg
20.txt,1332.jpg 462.jpg 395.jpg 596.jpg 1293.jpg 1958.jpg 1531.jpg 961.jpg 108.jpg 484.jpg 855.jpg 1160.jpg 142.jpg 34.jpg 27.jpg 1986.jpg 1608.jpg 178.jpg 1271.jpg 216.jpg
21.txt,1033.jpg 607.jpg 1183.jpg 765.jpg 1471.jpg 696.jpg 561.jpg 42.jpg 1475.jpg 1421.jpg 184.jpg 476.jpg 117.jpg 445.jpg 496.jpg 1648.jpg 979.jpg 1739.jpg 904.jpg 1211.jpg
22.txt,987.jpg 1302.jpg 1488.jpg 1249.jpg 1362.jpg 448.jpg 975.jpg 409.jpg 1123.jpg 624.jpg 1711.jpg 10.jpg 689.jpg 183.jpg 1832.jpg 1857.jpg 1210.jpg 1285.jpg 932.jpg 1270.jpg
23.txt,1465.jpg 1768.jpg 1151.jpg 358.jpg 458.jpg 52.jpg 262.jpg 1018.jpg 249.jpg 1885.jpg 1727.jpg 1790.jpg 1265.jpg 1377.jpg 1594.jpg 1318.jpg 1661.jpg 899.jpg 825.jpg 1913.jpg
24.txt,607.jpg 1421.jpg 1183.jpg 1739.jpg 496.jpg 60.jpg 1033.jpg 1866.jpg 1211.jpg 393.jpg 696.jpg 523.jpg 476.jpg 904.jpg 445.jpg 167.jpg 1648.jpg 1027.jpg 184.jpg 1460.jpg
25.txt,624.jpg 1488.jpg 1302.jpg 1257.jpg 470.jpg 1468.jpg 416.jpg 1827.jpg 886.jpg 627.jpg 418.jpg 963.jpg 220.jpg 1093.jpg 335.jpg 96.jpg 1249.jpg 1026.jpg 976.jpg 1427.jpg
26.txt,68.jpg 153.jpg 912.jpg 1106.jpg 308.jpg 46.jpg 216.jpg 1243.jpg 1504.jpg 389.jpg 673.jpg 307.jpg 808.jpg 1919.jpg 976.jpg 305.jpg 1018.jpg 670.jpg 1500.jpg 604.jpg
27.txt,506.jpg 235.jpg 1767.jpg 1215.jpg 960.jpg 207.jpg 1430.jpg 817.jpg 441.jpg 258.jpg 1009.jpg 1831.jpg 573.jpg 1126.jpg 148.jpg 1727.jpg 1632.jpg 884.jpg 1661.jpg 824.jpg
28.txt,1332.jpg 462.jpg 1958.jpg 1531.jpg 855.jpg 27.jpg 1303.jpg 1419.jpg 1293.jpg 178.jpg 596.jpg 312.jpg 876.jpg 293.jpg 533.jpg 424.jpg 1687.jpg 1608.jpg 1649.jpg 1055.jpg
29.txt,3.jpg 1413.jpg 1033.jpg 1967.jpg 663.jpg 765.jpg 669.jpg 563.jpg 705.jpg 1475.jpg 871.jpg 117.jpg 879.jpg 511.jpg 505.jpg 476.jpg 1344.jpg 696.jpg 1040.jpg 1523.jpg
