Descritpion_ID,Top_20_Image_IDs
0.txt,912.jpg 216.jpg 1161.jpg 46.jpg 922.jpg 95.jpg 849.jpg 1380.jpg 352.jpg 1069.jpg 68.jpg 1942.jpg 991.jpg 1606.jpg 1868.jpg 473.jpg 1498.jpg 453.jpg 1262.jpg 608.jpg
1.txt,1199.jpg 635.jpg 198.jpg 80.jpg 1615.jpg 428.jpg 587.jpg 1184.jpg 1714.jpg 201.jpg 674.jpg 355.jpg 1102.jpg 818.jpg 107.jpg 1824.jpg 1989.jpg 1639.jpg 179.jpg 1839.jpg
2.txt,1183.jpg 607.jpg 445.jpg 1033.jpg 117.jpg 523.jpg 600.jpg 1292.jpg 838.jpg 1211.jpg 372.jpg 496.jpg 1651.jpg 696.jpg 476.jpg 1471.jpg 720.jpg 561.jpg 879.jpg 545.jpg
3.txt,305.jpg 1850.jpg 1088.jpg 770.jpg 52.jpg 358.jpg 1318.jpg 549.jpg 68.jpg 451.jpg 1031.jpg 249.jpg 1998.jpg 309.jpg 1661.jpg 94.jpg 267.jpg 1700.jpg 1594.jpg 472.jpg
4.txt,68.jpg 305.jpg 912.jpg 808.jpg 1243.jpg 153.jpg 46.jpg 1850.jpg 849.jpg 216.jpg 1498.jpg 670.jpg 799.jpg 1231.jpg 604.jpg 164.jpg 473.jpg 1606.jpg 1804.jpg 199.jpg
5.txt,1088.jpg 60.jpg 249.jpg 523.jpg 496.jpg 1661.jpg 1594.jpg 607.jpg 1183.jpg 1903.jpg 167.jpg 1700.jpg 476.jpg 600.jpg 1651.jpg 1971.jpg 1998.jpg 393.jpg 1739.jpg 728.jpg
6.txt,1018.jpg 358.jpg 1465.jpg 52.jpg 1790.jpg 1088.jpg 1661.jpg 1727.jpg 673.jpg 77.jpg 1151.jpg 1944.jpg 155.jpg 249.jpg 1215.jpg 1855.jpg 1009.jpg 262.jpg 267.jpg 1768.jpg
7.txt,975.jpg 1249.jpg 1302.jpg 624.jpg 987.jpg 1488.jpg 1123.jpg 1362.jpg 627.jpg 409.jpg 1270.jpg 686.jpg 448.jpg 10.jpg 685.jpg 418.jpg 54.jpg 1157.jpg 1210.jpg 1711.jpg
8.txt,3.jpg 664.jpg 559.jpg 1902.jpg 991.jpg 1834.jpg 537.jpg 1967.jpg 1048.jpg 632.jpg 352.jpg 563.jpg 1544.jpg 879.jpg 1197.jpg 404.jpg 663.jpg 1570.jpg 1523.jpg 784.jpg
9.txt,1088.jpg 305.jpg 849.jpg 167.jpg 1700.jpg 325.jpg 834.jpg 1031.jpg 1594.jpg 68.jpg 249.jpg 785.jpg 1500.jpg 46.jpg 760.jpg 1446.jpg 1980.jpg 476.jpg 1254.jpg 1882.jpg
10.txt,696.jpg 1183.jpg 476.jpg 496.jpg 445.jpg 607.jpg 600.jpg 873.jpg 765.jpg 904.jpg 1482.jpg 539.jpg 1033.jpg 979.jpg 1471.jpg 283.jpg 323.jpg 1896.jpg 184.jpg 883.jpg
11.txt,1088.jpg 1882.jpg 971.jpg 834.jpg 249.jpg 523.jpg 325.jpg 705.jpg 1254.jpg 1446.jpg 1211.jpg 1033.jpg 1661.jpg 1118.jpg 1693.jpg 167.jpg 1292.jpg 965.jpg 60.jpg 849.jpg
12.txt,1031.jpg 472.jpg 1594.jpg 1656.jpg 1700.jpg 393.jpg 1919.jpg 476.jpg 1500.jpg 1918.jpg 1179.jpg 305.jpg 496.jpg 358.jpg 1553.jpg 15.jpg 1057.jpg 848.jpg 1004.jpg 249.jpg
13.txt,68.jpg 1243.jpg 46.jpg 912.jpg 1018.jpg 305.jpg 808.jpg 216.jpg 849.jpg 153.jpg 1850.jpg 604.jpg 629.jpg 1231.jpg 865.jpg 1127.jpg 1913.jpg 1992.jpg 164.jpg 1919.jpg
14.txt,1465.jpg 1151.jpg 262.jpg 458.jpg 1018.jpg 1377.jpg 1768.jpg 52.jpg 358.jpg 899.jpg 1940.jpg 305.jpg 1850.jpg 1913.jpg 1944.jpg 996.jpg 1289.jpg 1265.jpg 655.jpg 77.jpg
