Descritpion_ID,Top_20_Image_IDs
0.txt,1479.jpg 1480.jpg 231.jpg 1967.jpg 881.jpg 760.jpg 124.jpg 1980.jpg 338.jpg 1380.jpg 1040.jpg 1296.jpg 669.jpg 683.jpg 105.jpg 1077.jpg 1499.jpg 46.jpg 714.jpg 1883.jpg
1.txt,1184.jpg 1824.jpg 833.jpg 355.jpg 1828.jpg 1733.jpg 428.jpg 1068.jpg 1199.jpg 179.jpg 1559.jpg 888.jpg 1714.jpg 80.jpg 635.jpg 1102.jpg 1021.jpg 1615.jpg 201.jpg 818.jpg
2.txt,159.jpg 3.jpg 838.jpg 1896.jpg 1471.jpg 1482.jpg 511.jpg 720.jpg 883.jpg 117.jpg 663.jpg 539.jpg 634.jpg 283.jpg 1183.jpg 696.jpg 1421.jpg 42.jpg 1866.jpg 1033.jpg
3.txt,1514.jpg 1315.jpg 1486.jpg 654.jpg 1215.jpg 1207.jpg 469.jpg 305.jpg 1850.jpg 960.jpg 94.jpg 1727.jpg 770.jpg 1097.jpg 1661.jpg 1465.jpg 235.jpg 1112.jpg 1553.jpg 267.jpg
4.txt,1856.jpg 132.jpg 68.jpg 1446.jpg 1092.jpg 1480.jpg 742.jpg 1231.jpg 912.jpg 1462.jpg 312.jpg 540.jpg 46.jpg 1243.jpg 1451.jpg 849.jpg 216.jpg 922.jpg 199.jpg 1161.jpg
5.txt,1700.jpg 614.jpg 330.jpg 1292.jpg 1837.jpg 814.jpg 846.jpg 1296.jpg 492.jpg 51.jpg 1335.jpg 1913.jpg 1402.jpg 1693.jpg 1118.jpg 1088.jpg 1594.jpg 523.jpg 249.jpg 1254.jpg
6.txt,1289.jpg 655.jpg 402.jpg 1815.jpg 1944.jpg 414.jpg 1701.jpg 1320.jpg 1584.jpg 1458.jpg 1465.jpg 1855.jpg 1216.jpg 582.jpg 1607.jpg 458.jpg 718.jpg 1874.jpg 1885.jpg 1122.jpg
7.txt,1616.jpg 1949.jpg 975.jpg 1488.jpg 1270.jpg 448.jpg 987.jpg 1857.jpg 685.jpg 1249.jpg 689.jpg 1285.jpg 1961.jpg 1239.jpg 1302.jpg 1085.jpg 627.jpg 481.jpg 409.jpg 1694.jpg
8.txt,3.jpg 1927.jpg 1896.jpg 1197.jpg 781.jpg 826.jpg 1031.jpg 1283.jpg 1004.jpg 727.jpg 419.jpg 1570.jpg 1834.jpg 991.jpg 531.jpg 923.jpg 537.jpg 1170.jpg 1808.jpg 823.jpg
9.txt,321.jpg 1700.jpg 614.jpg 1837.jpg 46.jpg 846.jpg 274.jpg 1426.jpg 309.jpg 1335.jpg 1402.jpg 1693.jpg 1886.jpg 1913.jpg 1088.jpg 1254.jpg 829.jpg 760.jpg 1594.jpg 249.jpg
10.txt,159.jpg 838.jpg 1927.jpg 1896.jpg 1471.jpg 1611.jpg 511.jpg 781.jpg 879.jpg 720.jpg 883.jpg 117.jpg 634.jpg 663.jpg 1242.jpg 539.jpg 765.jpg 1183.jpg 696.jpg 904.jpg
11.txt,1700.jpg 614.jpg 554.jpg 1292.jpg 526.jpg 814.jpg 1296.jpg 46.jpg 1426.jpg 51.jpg 846.jpg 82.jpg 1335.jpg 1913.jpg 1402.jpg 1693.jpg 1118.jpg 1088.jpg 1446.jpg 1254.jpg
12.txt,1677.jpg 431.jpg 1910.jpg 1500.jpg 476.jpg 221.jpg 1031.jpg 1919.jpg 1918.jpg 1553.jpg 1656.jpg 1057.jpg 358.jpg 670.jpg 1443.jpg 1700.jpg 393.jpg 153.jpg 1594.jpg 15.jpg
13.txt,648.jpg 1289.jpg 910.jpg 655.jpg 1940.jpg 535.jpg 156.jpg 414.jpg 555.jpg 1584.jpg 1458.jpg 1465.jpg 1855.jpg 583.jpg 712.jpg 458.jpg 718.jpg 217.jpg 1885.jpg 1758.jpg
14.txt,1540.jpg 262.jpg 1289.jpg 910.jpg 655.jpg 1815.jpg 535.jpg 1944.jpg 156.jpg 414.jpg 1701.jpg 555.jpg 1584.jpg 1458.jpg 1465.jpg 1855.jpg 712.jpg 458.jpg 718.jpg 217.jpg
15.txt,644.jpg 6.jpg 527.jpg 149.jpg 1177.jpg 668.jpg 1192.jpg 1068.jpg 1199.jpg 1334.jpg 314.jpg 1733.jpg 198.jpg 1369.jpg 247.jpg 738.jpg 482.jpg 1507.jpg 1381.jpg 1645.jpg
16.txt,865.jpg 37.jpg 1127.jpg 1385.jpg 734.jpg 370.jpg 1236.jpg 52.jpg 1433.jpg 670.jpg 1913.jpg 1384.jpg 1088.jpg 912.jpg 46.jpg 87.jpg 1936.jpg 68.jpg 994.jpg 1092.jpg
17.txt,159.jpg 1533.jpg 322.jpg 838.jpg 871.jpg 1896.jpg 1471.jpg 106.jpg 511.jpg 720.jpg 883.jpg 117.jpg 663.jpg 953.jpg 634.jpg 1883.jpg 765.jpg 1183.jpg 338.jpg 476.jpg
18.txt,975.jpg 1819.jpg 725.jpg 1463.jpg 779.jpg 1279.jpg 1450.jpg 1528.jpg 764.jpg 239.jpg 577.jpg 59.jpg 677.jpg 650.jpg 661.jpg 409.jpg 10.jpg 1461.jpg 944.jpg 605.jpg
19.txt,1152.jpg 1288.jpg 1552.jpg 145.jpg 275.jpg 1301.jpg 412.jpg 1189.jpg 933.jpg 1831.jpg 817.jpg 824.jpg 441.jpg 1595.jpg 573.jpg 190.jpg 203.jpg 1357.jpg 1358.jpg 207.jpg
20.txt,705.jpg 1927.jpg 1197.jpg 781.jpg 663.jpg 1919.jpg 1570.jpg 633.jpg 3.jpg 1656.jpg 1163.jpg 676.jpg 828.jpg 1031.jpg 166.jpg 559.jpg 1847.jpg 1232.jpg 371.jpg 1902.jpg
21.txt,960.jpg 1661.jpg 963.jpg 641.jpg 1921.jpg 802.jpg 220.jpg 1088.jpg 1453.jpg 1930.jpg 85.jpg 471.jpg 1207.jpg 412.jpg 1727.jpg 96.jpg 148.jpg 1361.jpg 344.jpg 618.jpg
22.txt,1891.jpg 1704.jpg 1065.jpg 169.jpg 1353.jpg 1642.jpg 238.jpg 1199.jpg 179.jpg 888.jpg 1754.jpg 666.jpg 1988.jpg 1814.jpg 326.jpg 1138.jpg 590.jpg 611.jpg 774.jpg 1226.jpg
