Descritpion_ID,Top_20_Image_IDs
0.txt,13.jpg 912.jpg 540.jpg 36.jpg 42.jpg 1967.jpg 698.jpg 1479.jpg 1480.jpg 969.jpg 1231.jpg 465.jpg 1883.jpg 604.jpg 998.jpg 231.jpg 871.jpg 496.jpg 881.jpg 244.jpg
1.txt,529.jpg 149.jpg 1559.jpg 1049.jpg 1184.jpg 1824.jpg 674.jpg 163.jpg 1828.jpg 1192.jpg 169.jpg 1068.jpg 428.jpg 1199.jpg 179.jpg 314.jpg 571.jpg 1979.jpg 833.jpg 1733.jpg
2.txt,3.jpg 260.jpg 904.jpg 1292.jpg 1677.jpg 781.jpg 663.jpg 539.jpg 283.jpg 1183.jpg 159.jpg 1455.jpg 1713.jpg 1594.jpg 1338.jpg 1084.jpg 1471.jpg 1089.jpg 705.jpg 838.jpg
3.txt,1315.jpg 1700.jpg 451.jpg 1513.jpg 1514.jpg 1995.jpg 654.jpg 1486.jpg 1171.jpg 309.jpg 469.jpg 951.jpg 1052.jpg 799.jpg 1215.jpg 1207.jpg 305.jpg 1850.jpg 960.jpg 94.jpg
4.txt,132.jpg 1161.jpg 912.jpg 657.jpg 1298.jpg 916.jpg 1561.jpg 540.jpg 1181.jpg 292.jpg 1446.jpg 1958.jpg 808.jpg 1838.jpg 1969.jpg 1462.jpg 312.jpg 1856.jpg 1092.jpg 68.jpg
5.txt,771.jpg 1292.jpg 1296.jpg 1426.jpg 1693.jpg 1700.jpg 1321.jpg 1837.jpg 814.jpg 51.jpg 1335.jpg 951.jpg 321.jpg 1991.jpg 330.jpg 846.jpg 82.jpg 1630.jpg 1118.jpg 614.jpg
6.txt,1153.jpg 771.jpg 1540.jpg 262.jpg 1289.jpg 655.jpg 16.jpg 402.jpg 1815.jpg 1944.jpg 1693.jpg 414.jpg 33.jpg 1701.jpg 1320.jpg 814.jpg 1584.jpg 1458.jpg 1465.jpg 1855.jpg
7.txt,1857.jpg 451.jpg 836.jpg 1193.jpg 1514.jpg 907.jpg 364.jpg 397.jpg 975.jpg 1616.jpg 1844.jpg 725.jpg 1078.jpg 1949.jpg 1488.jpg 1270.jpg 448.jpg 987.jpg 685.jpg 1249.jpg
8.txt,3.jpg 1927.jpg 1037.jpg 781.jpg 531.jpg 663.jpg 24.jpg 539.jpg 1834.jpg 1197.jpg 561.jpg 826.jpg 979.jpg 727.jpg 1119.jpg 1896.jpg 1644.jpg 1389.jpg 1525.jpg 1031.jpg
9.txt,770.jpg 1292.jpg 274.jpg 1426.jpg 1693.jpg 413.jpg 1700.jpg 554.jpg 1837.jpg 46.jpg 309.jpg 1335.jpg 321.jpg 846.jpg 82.jpg 1886.jpg 1118.jpg 1630.jpg 614.jpg 492.jpg
10.txt,260.jpg 1927.jpg 904.jpg 1292.jpg 1677.jpg 781.jpg 663.jpg 24.jpg 539.jpg 283.jpg 1183.jpg 159.jpg 1700.jpg 1197.jpg 1713.jpg 953.jpg 1594.jpg 1084.jpg 1471.jpg 705.jpg
11.txt,1292.jpg 526.jpg 1296.jpg 274.jpg 1426.jpg 1693.jpg 413.jpg 1700.jpg 1830.jpg 554.jpg 46.jpg 814.jpg 51.jpg 309.jpg 1335.jpg 321.jpg 1991.jpg 846.jpg 82.jpg 732.jpg
12.txt,1677.jpg 539.jpg 1700.jpg 431.jpg 951.jpg 1847.jpg 696.jpg 1594.jpg 1212.jpg 1500.jpg 221.jpg 476.jpg 749.jpg 1261.jpg 1389.jpg 883.jpg 1653.jpg 1910.jpg 1918.jpg 1919.jpg
13.txt,1540.jpg 262.jpg 903.jpg 648.jpg 1289.jpg 908.jpg 910.jpg 655.jpg 16.jpg 1423.jpg 402.jpg 1940.jpg 535.jpg 1815.jpg 1944.jpg 156.jpg 414.jpg 1696.jpg 1701.jpg 555.jpg
14.txt,259.jpg 1540.jpg 899.jpg 262.jpg 391.jpg 648.jpg 1289.jpg 910.jpg 655.jpg 16.jpg 1423.jpg 402.jpg 1940.jpg 535.jpg 1815.jpg 1944.jpg 156.jpg 414.jpg 33.jpg 1701.jpg
15.txt,1794.jpg 515.jpg 644.jpg 6.jpg 1158.jpg 1806.jpg 527.jpg 529.jpg 149.jpg 1177.jpg 668.jpg 1184.jpg 674.jpg 1959.jpg 1192.jpg 1068.jpg 1196.jpg 428.jpg 1199.jpg 179.jpg
16.txt,2.jpg 1287.jpg 1551.jpg 914.jpg 1433.jpg 670.jpg 37.jpg 46.jpg 52.jpg 1606.jpg 1736.jpg 77.jpg 846.jpg 334.jpg 1236.jpg 734.jpg 1888.jpg 865.jpg 994.jpg 1127.jpg
17.txt,769.jpg 3.jpg 1292.jpg 1677.jpg 781.jpg 663.jpg 539.jpg 1183.jpg 159.jpg 1533.jpg 1700.jpg 1967.jpg 1713.jpg 309.jpg 953.jpg 1594.jpg 1471.jpg 705.jpg 322.jpg 838.jpg
18.txt,930.jpg 451.jpg 549.jpg 364.jpg 1965.jpg 975.jpg 913.jpg 1748.jpg 725.jpg 1463.jpg 1819.jpg 779.jpg 1279.jpg 1450.jpg 1528.jpg 764.jpg 239.jpg 577.jpg 59.jpg 677.jpg
19.txt,1152.jpg 770.jpg 1288.jpg 1801.jpg 905.jpg 1418.jpg 1552.jpg 145.jpg 275.jpg 1301.jpg 412.jpg 1189.jpg 550.jpg 1063.jpg 1831.jpg 933.jpg 817.jpg 824.jpg 441.jpg 1595.jpg
20.txt,3.jpg 1927.jpg 781.jpg 531.jpg 663.jpg 676.jpg 1573.jpg 1834.jpg 1197.jpg 705.jpg 1222.jpg 459.jpg 724.jpg 727.jpg 231.jpg 1896.jpg 1644.jpg 114.jpg 1523.jpg 629.jpg
21.txt,960.jpg 1127.jpg 1736.jpg 1097.jpg 1385.jpg 77.jpg 1614.jpg 52.jpg 1661.jpg 963.jpg 641.jpg 1921.jpg 802.jpg 220.jpg 1088.jpg 1453.jpg 1930.jpg 85.jpg 471.jpg 1207.jpg
22.txt,774.jpg 1807.jpg 1814.jpg 23.jpg 1688.jpg 666.jpg 1828.jpg 1704.jpg 1065.jpg 169.jpg 1199.jpg 1839.jpg 179.jpg 185.jpg 571.jpg 67.jpg 1733.jpg 1989.jpg 1353.jpg 590.jpg
23.txt,129.jpg 385.jpg 1667.jpg 1545.jpg 780.jpg 1805.jpg 1294.jpg 1422.jpg 1169.jpg 1554.jpg 659.jpg 665.jpg 795.jpg 924.jpg 1914.jpg 671.jpg 1439.jpg 1058.jpg 34.jpg 291.jpg
24.txt,512.jpg 256.jpg 1539.jpg 522.jpg 1036.jpg 268.jpg 1551.jpg 1681.jpg 1042.jpg 1043.jpg 534.jpg 536.jpg 1913.jpg 921.jpg 1307.jpg 1434.jpg 1952.jpg 673.jpg 289.jpg 1441.jpg
25.txt,770.jpg 1802.jpg 267.jpg 26.jpg 155.jpg 1052.jpg 412.jpg 1532.jpg 1831.jpg 1453.jpg 1070.jpg 309.jpg 1207.jpg 824.jpg 825.jpg 951.jpg 573.jpg 1215.jpg 1088.jpg 1727.jpg
